InvoiceDate,Sales
2009-12-01 07:45:00,505.3
2009-12-01 07:46:00,145.8
2009-12-01 09:06:00,630.33
2009-12-01 09:08:00,310.75
2009-12-01 09:24:00,2286.24
2009-12-01 09:28:00,426.3
2009-12-01 09:43:00,50.4
2009-12-01 09:44:00,344.34000000000003
2009-12-01 09:46:00,382.37
2009-12-01 09:50:00,285.06
2009-12-01 09:55:00,141.0
2009-12-01 09:57:00,308.44
2009-12-01 10:06:00,996.1
2009-12-01 10:10:00,130.0
2009-12-01 10:18:00,570.24
2009-12-01 10:33:00,-196.10000000000002
2009-12-01 10:36:00,196.10000000000002
2009-12-01 10:44:00,-148.3
2009-12-01 10:46:00,485.79
2009-12-01 10:49:00,737.63
2009-12-01 10:52:00,1197.8000000000002
2009-12-01 10:53:00,0.0
2009-12-01 10:55:00,-12.6
2009-12-01 10:59:00,251.1
2009-12-01 11:04:00,-13.45
2009-12-01 11:10:00,-15.3
2009-12-01 11:17:00,255.5
2009-12-01 11:21:00,823.02
2009-12-01 11:34:00,250.06
2009-12-01 11:35:00,-38.4
2009-12-01 11:37:00,696.73
2009-12-01 11:41:00,733.63
2009-12-01 11:44:00,0.0
2009-12-01 11:45:00,700.31
2009-12-01 11:46:00,1160.0
2009-12-01 11:48:00,-12.75
2009-12-01 11:49:00,1.4
2009-12-01 11:50:00,878.02
2009-12-01 11:51:00,212.63
2009-12-01 11:56:00,-4.25
2009-12-01 11:57:00,145.0
2009-12-01 11:58:00,304.53
2009-12-01 12:02:00,181.5
2009-12-01 12:09:00,-5.95
2009-12-01 12:11:00,-28.0
2009-12-01 12:13:00,341.02
2009-12-01 12:14:00,633.33
2009-12-01 12:18:00,3376.72
2009-12-01 12:19:00,369.7
2009-12-01 12:20:00,281.82
2009-12-01 12:22:00,124.95
2009-12-01 12:30:00,1225.95
2009-12-01 12:32:00,382.41
2009-12-01 12:33:00,466.4
2009-12-01 12:35:00,-6.95
2009-12-01 12:36:00,278.61
2009-12-01 12:41:00,-27.29
2009-12-01 12:43:00,-18.65
2009-12-01 12:44:00,-19.5
2009-12-01 12:47:00,377.15
2009-12-01 12:52:00,603.94
2009-12-01 12:54:00,291.58000000000004
2009-12-01 12:55:00,128.60000000000002
2009-12-01 12:56:00,859.1
2009-12-01 12:57:00,246.86
2009-12-01 13:07:00,229.6
2009-12-01 13:09:00,-214.2
2009-12-01 13:13:00,322.9
2009-12-01 13:14:00,-25.200000000000003
2009-12-01 13:16:00,218.55
2009-12-01 13:19:00,307.8
2009-12-01 13:20:00,263.88
2009-12-01 13:28:00,-22.4
2009-12-01 13:29:00,1244.22
2009-12-01 13:31:00,544.73
2009-12-01 13:37:00,367.28000000000003
2009-12-01 13:38:00,222.85999999999999
2009-12-01 13:40:00,-2.95
2009-12-01 13:41:00,219.82
2009-12-01 13:43:00,261.0
2009-12-01 13:47:00,395.43
2009-12-01 13:48:00,21.95
2009-12-01 13:49:00,105.85
2009-12-01 13:50:00,263.42
2009-12-01 13:52:00,-4.25
2009-12-01 14:01:00,-36.95
2009-12-01 14:02:00,-6.3
2009-12-01 14:14:00,362.78000000000003
2009-12-01 14:17:00,-16.35
2009-12-01 14:19:00,722.25
2009-12-01 14:20:00,-14.95
2009-12-01 14:27:00,17.0
2009-12-01 14:28:00,5097.82
2009-12-01 14:35:00,822.37
2009-12-01 14:40:00,2454.68
2009-12-01 14:43:00,420.29
2009-12-01 14:44:00,337.2
2009-12-01 14:45:00,440.07
2009-12-01 14:46:00,311.55
2009-12-01 14:47:00,367.96999999999997
2009-12-01 14:48:00,2.1
2009-12-01 14:49:00,456.73
2009-12-01 14:50:00,553.78
2009-12-01 14:52:00,-29.55
2009-12-01 14:53:00,2.95
2009-12-01 14:55:00,629.78
2009-12-01 14:56:00,920.96
2009-12-01 14:58:00,409.27
2009-12-01 14:59:00,204.35
2009-12-01 15:02:00,19.5
2009-12-01 15:18:00,-16.25
2009-12-01 15:19:00,17.4
2009-12-01 15:26:00,352.85
2009-12-01 15:34:00,-74.6
2009-12-01 15:36:00,535.9
2009-12-01 15:42:00,7.5
2009-12-01 16:05:00,31.200000000000003
2009-12-01 16:17:00,329.90999999999997
2009-12-01 16:18:00,622.1
2009-12-01 16:19:00,12.850000000000001
2009-12-01 16:26:00,-30.3
2009-12-01 16:30:00,857.5400000000001
2009-12-01 16:34:00,261.74
2009-12-01 16:44:00,173.1
2009-12-01 16:48:00,-5.1
2009-12-01 17:08:00,354.92
2009-12-01 17:19:00,222.12
2009-12-01 17:26:00,0.0
2009-12-01 17:28:00,1292.5
2009-12-01 17:31:00,828.09
2009-12-01 17:39:00,0.0
2009-12-01 17:43:00,0.0
2009-12-01 17:45:00,23.48
2009-12-01 17:50:00,73.75
2009-12-01 18:02:00,0.0
2009-12-01 18:03:00,374.43
2009-12-01 18:07:00,252.3
2009-12-01 18:13:00,263.09000000000003
2009-12-01 18:35:00,538.46
2009-12-01 19:19:00,378.12
2009-12-02 08:15:00,397.20000000000005
2009-12-02 08:16:00,114.60000000000001
2009-12-02 08:58:00,740.3
2009-12-02 09:21:00,772.65
2009-12-02 09:23:00,61.1
2009-12-02 09:35:00,261.3
2009-12-02 09:47:00,4939.22
2009-12-02 09:49:00,1210.8
2009-12-02 09:50:00,192.0
2009-12-02 09:57:00,189.3
2009-12-02 10:00:00,795.98
2009-12-02 10:02:00,134.59
2009-12-02 10:08:00,125.73
2009-12-02 10:09:00,1317.97
2009-12-02 10:15:00,266.59999999999997
2009-12-02 10:28:00,-28.95
2009-12-02 10:34:00,-1.7
2009-12-02 10:41:00,221.53
2009-12-02 10:42:00,299.70000000000005
2009-12-02 10:46:00,-21.9
2009-12-02 10:48:00,306.95
2009-12-02 10:51:00,401.7
2009-12-02 10:52:00,3125.64
2009-12-02 10:55:00,-208.75
2009-12-02 10:58:00,2052.12
2009-12-02 11:07:00,966.0
2009-12-02 11:09:00,900.0
2009-12-02 11:18:00,180.45000000000002
2009-12-02 11:20:00,168.0
2009-12-02 11:24:00,538.77
2009-12-02 11:26:00,754.2
2009-12-02 11:31:00,223.1
2009-12-02 11:33:00,271.74
2009-12-02 11:34:00,124.78
2009-12-02 11:36:00,-2.95
2009-12-02 11:43:00,159.98000000000002
2009-12-02 11:45:00,228.36
2009-12-02 11:47:00,162.04
2009-12-02 11:48:00,40.8
2009-12-02 11:51:00,333.09000000000003
2009-12-02 11:52:00,212.66
2009-12-02 11:53:00,293.19
2009-12-02 11:55:00,119.16
2009-12-02 11:59:00,211.52
2009-12-02 12:06:00,1140.38
2009-12-02 12:09:00,260.36
2009-12-02 12:13:00,993.21
2009-12-02 12:15:00,311.5
2009-12-02 12:19:00,196.88
2009-12-02 12:22:00,296.69
2009-12-02 12:23:00,-7.8
2009-12-02 12:26:00,382.57
2009-12-02 12:28:00,128.48
2009-12-02 12:32:00,174.52
2009-12-02 12:34:00,-10.95
2009-12-02 12:38:00,251.17
2009-12-02 12:39:00,454.35
2009-12-02 12:42:00,0.0
2009-12-02 12:43:00,180.13
2009-12-02 12:44:00,109.84
2009-12-02 12:46:00,112.5
2009-12-02 12:47:00,493.25
2009-12-02 12:54:00,634.29
2009-12-02 13:00:00,597.6899999999999
2009-12-02 13:02:00,-51.900000000000006
2009-12-02 13:06:00,811.53
2009-12-02 13:10:00,110.05
2009-12-02 13:20:00,284.55
2009-12-02 13:22:00,340.2
2009-12-02 13:23:00,912.73
2009-12-02 13:25:00,0.0
2009-12-02 13:26:00,371.27000000000004
2009-12-02 13:32:00,87.30000000000001
2009-12-02 13:33:00,176.88
2009-12-02 13:34:00,174.1
2009-12-02 13:39:00,85.95
2009-12-02 13:51:00,445.7
2009-12-02 13:53:00,463.97
2009-12-02 13:57:00,628.14
2009-12-02 13:58:00,1008.0
2009-12-02 14:06:00,313.27
2009-12-02 14:09:00,365.48
2009-12-02 14:15:00,714.0
2009-12-02 14:21:00,507.47
2009-12-02 14:22:00,89.69999999999999
2009-12-02 14:34:00,157.91
2009-12-02 14:36:00,4463.74
2009-12-02 14:43:00,5721.5599999999995
2009-12-02 14:45:00,-69.57
2009-12-02 14:49:00,-8.5
2009-12-02 14:50:00,46.07
2009-12-02 14:52:00,734.7
2009-12-02 14:55:00,66.82
2009-12-02 14:56:00,206.85
2009-12-02 15:01:00,234.87
2009-12-02 15:04:00,987.73
2009-12-02 15:08:00,118.94999999999999
2009-12-02 15:10:00,675.0
2009-12-02 15:15:00,39.980000000000004
2009-12-02 15:16:00,162.1
2009-12-02 15:17:00,735.7
2009-12-02 15:28:00,632.9
2009-12-02 15:29:00,10.2
2009-12-02 15:38:00,176.6
2009-12-02 15:41:00,525.71
2009-12-02 15:44:00,407.95
2009-12-02 15:51:00,140.16
2009-12-02 16:02:00,163.47
2009-12-02 16:18:00,380.28
2009-12-02 16:20:00,-147.05
2009-12-02 16:22:00,0.0
2009-12-02 16:24:00,581.89
2009-12-02 16:49:00,597.4
2009-12-02 16:52:00,4734.24
2009-12-02 16:53:00,976.8
2009-12-02 16:59:00,181.08
2009-12-02 17:02:00,39.8
2009-12-02 17:06:00,300.1
2009-12-02 17:18:00,520.2
2009-12-03 07:25:00,371.82
2009-12-03 07:57:00,337.93
2009-12-03 09:10:00,260.44
2009-12-03 09:40:00,0.0
2009-12-03 09:41:00,0.0
2009-12-03 09:44:00,287.37
2009-12-03 09:47:00,0.0
2009-12-03 09:52:00,119.10000000000001
2009-12-03 09:57:00,0.0
2009-12-03 10:02:00,203.78
2009-12-03 10:03:00,478.7
2009-12-03 10:16:00,120.0
2009-12-03 10:17:00,202.06
2009-12-03 10:20:00,749.53
